origin,delayed
GTF,0.0759493670886076
LBF,0.07547169811320754
PIH,0.07526881720430108
ITO,0.07102803738317758
DRT,0.07017543859649122
BTM,0.06896551724137931
SPN,0.06818181818181818
DVL,0.06
ABY,0.05952380952380952
CPR,0.047619047619047616
LWS,0.046875
JMS,0.0410958904109589
CDC,0.037037037037037035
UIN,0.0
COD,0.0
